Time,Theta_Analytical,Theta,Omega,Theta_Errors,Omega_Errors,Energy
1.010000,-0.447497,-0.447497,0.153580,0.000000,0.000000,1.028461
1.020000,-0.445727,-0.445727,0.200456,0.000000,0.000000,1.028461
1.030000,-0.443489,-0.443489,0.247094,0.000000,0.000000,1.028461
1.040000,-0.440786,-0.440786,0.293440,0.000000,0.000000,1.028461
1.050000,-0.437621,-0.437621,0.339440,0.000000,0.000000,1.028461
1.060000,-0.433999,-0.433999,0.385039,0.000000,0.000000,1.028461
1.070000,-0.429922,-0.429922,0.430186,0.000000,0.000000,1.028461
1.080000,-0.425397,-0.425397,0.474830,0.000000,0.000000,1.028461
1.090000,-0.420427,-0.420427,0.518919,0.000000,0.000000,1.028461
1.100000,-0.415020,-0.415020,0.562405,0.000000,0.000000,1.028461
1.110000,-0.409181,-0.409181,0.605239,0.000000,0.000000,1.028461
1.120000,-0.402918,-0.402918,0.647375,0.000000,0.000000,1.028461
1.130000,-0.396236,-0.396236,0.688768,0.000000,0.000000,1.028461
1.140000,-0.389145,-0.389145,0.729374,0.000000,0.000000,1.028461
1.150000,-0.381652,-0.381652,0.769151,0.000000,0.000000,1.028461
1.160000,-0.373765,-0.373765,0.808059,0.000000,0.000000,1.028461
1.170000,-0.365494,-0.365494,0.846057,0.000000,0.000000,1.028461
1.180000,-0.356847,-0.356847,0.883109,0.000000,0.000000,1.028461
1.190000,-0.347835,-0.347835,0.919179,0.000000,0.000000,1.028461
1.200000,-0.338467,-0.338467,0.954233,0.000000,0.000000,1.028461
1.210000,-0.328754,-0.328754,0.988238,0.000000,0.000000,1.028461
1.220000,-0.318706,-0.318706,1.021164,0.000000,0.000000,1.028461
1.230000,-0.308334,-0.308334,1.052982,0.000000,0.000000,1.028461
1.240000,-0.297650,-0.297650,1.083664,0.000000,0.000000,1.028461
1.250000,-0.286665,-0.286665,1.113183,0.000000,0.000000,1.028461
1.260000,-0.275390,-0.275390,1.141517,0.000000,0.000000,1.028461
1.270000,-0.263838,-0.263838,1.168642,0.000000,0.000000,1.028461
1.280000,-0.252021,-0.252021,1.194536,0.000000,0.000000,1.028461
1.290000,-0.239952,-0.239952,1.219181,0.000000,0.000000,1.028461
1.300000,-0.227642,-0.227642,1.242558,0.000000,0.000000,1.028461
1.310000,-0.215105,-0.215105,1.264649,0.000000,0.000000,1.028461
1.320000,-0.202353,-0.202353,1.285440,0.000000,0.000000,1.028461
